problem,method,c1,c2,alpha,tau,iterations,converged,f_final,grad_norm,func_evals,time,timeout
P8_Extended_Rosenbrock_n100,DFP_armijo,0.2,,1.3,0.5,103,True,3.9866238543009374,1.9104856913510825e-06,703,0.3840622901916504,False
P8_Extended_Rosenbrock_n100,DFP_armijo,0.2,,1.3,0.6,111,True,3.9866238543009342,8.841520353970008e-07,896,0.4827139377593994,False
P8_Extended_Rosenbrock_n100,DFP_armijo,0.2,,1.3,0.7,113,True,3.9866238543009342,8.513893436191392e-07,1211,0.6370584964752197,False
P8_Extended_Rosenbrock_n100,DFP_armijo,0.2,,1.3,0.8,115,True,3.986623854300934,9.399887936048002e-07,1802,0.8877565860748291,False
P8_Extended_Rosenbrock_n100,DFP_armijo,0.2,,1.3,0.9,116,True,3.986623854300934,1.109101985329865e-06,3566,1.7598950862884521,False
P8_Extended_Rosenbrock_n100,L_BFGS_armijo,0.1,,1.0,0.1,27,True,3.9866238543009334,1.0197157874810077e-06,35,0.026684045791625977,False
P8_Extended_Rosenbrock_n100,L_BFGS_armijo,0.1,,1.0,0.2,27,True,3.986623854300937,2.0494493369879437e-06,36,0.027297496795654297,False
P8_Extended_Rosenbrock_n100,L_BFGS_armijo,0.1,,1.0,0.3,27,True,3.9866238543009365,1.7366163651381034e-06,36,0.02713632583618164,False
P8_Extended_Rosenbrock_n100,L_BFGS_armijo,0.1,,1.0,0.4,27,True,3.9866238543009356,9.250975003074177e-07,37,0.027760744094848633,False
P8_Extended_Rosenbrock_n100,L_BFGS_armijo,0.1,,1.0,0.5,26,True,3.9866238543009374,2.1449998312200127e-06,39,0.02938675880432129,False
P8_Extended_Rosenbrock_n100,L_BFGS_armijo,0.1,,1.0,0.6,27,True,3.986623854300936,1.4510628375912385e-06,45,0.03195595741271973,False
P8_Extended_Rosenbrock_n100,L_BFGS_armijo,0.1,,1.0,0.7,26,True,3.986623854300937,2.1455420109019505e-06,50,0.03320670127868652,False
P8_Extended_Rosenbrock_n100,L_BFGS_armijo,0.1,,1.0,0.8,27,True,3.986623854300935,1.1472670212899484e-06,65,0.04129600524902344,False
P8_Extended_Rosenbrock_n100,L_BFGS_armijo,0.1,,1.0,0.9,27,True,3.9866238543009356,9.687986967494614e-07,106,0.060672760009765625,False
P8_Extended_Rosenbrock_n100,Newton_CG_armijo,0.0001,,1.0,0.1,6,True,3.986623854300934,6.525295707137557e-09,6,0.03372454643249512,False
P8_Extended_Rosenbrock_n100,Newton_CG_armijo,0.0001,,1.0,0.2,6,True,3.986623854300934,6.525295707137557e-09,6,0.03298640251159668,False
P8_Extended_Rosenbrock_n100,Newton_CG_armijo,0.0001,,1.0,0.3,6,True,3.986623854300934,6.525295707137557e-09,6,0.0324254035949707,False
P8_Extended_Rosenbrock_n100,Newton_CG_armijo,0.0001,,1.0,0.4,6,True,3.986623854300934,6.525295707137557e-09,6,0.03239893913269043,False
P8_Extended_Rosenbrock_n100,Newton_CG_armijo,0.0001,,1.0,0.5,6,True,3.986623854300934,6.525295707137557e-09,6,0.03277254104614258,False
P8_Extended_Rosenbrock_n100,Newton_CG_armijo,0.0001,,1.0,0.6,6,True,3.986623854300934,6.525295707137557e-09,6,0.0332179069519043,False
P8_Extended_Rosenbrock_n100,Newton_CG_armijo,0.0001,,1.0,0.7,6,True,3.986623854300934,6.525295707137557e-09,6,0.03314805030822754,False
P8_Extended_Rosenbrock_n100,Newton_CG_armijo,0.0001,,1.0,0.8,6,True,3.986623854300934,6.525295707137557e-09,6,0.03301119804382324,False
P8_Extended_Rosenbrock_n100,Newton_CG_armijo,0.0001,,1.0,0.9,6,True,3.986623854300934,6.525295707137557e-09,6,0.0327763557434082,False
