problem,method,c1,c2,alpha,iterations,converged,f_final,grad_norm,func_evals,time,linesearch
P7_Extended_Rosenbrock_n2,SD_armijo,0.3,,1.7,2000,False,0.0003879167334166811,0.025525350453950817,2949,0.0622251033782959,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.3,,1.9,2000,False,0.00034728213000761326,0.020260599162909645,2961,0.05872631072998047,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.3,,2.0,2000,False,0.0003282595049711661,0.018565858485384282,2958,0.06064248085021973,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.5,,0.1,2000,False,0.00017513532686500716,0.013704144987912219,3404,0.07655000686645508,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.5,,0.3,2000,False,0.00020123299188590184,0.013287555715261018,3398,0.07486367225646973,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.5,,0.5,2000,False,0.00020612294052327505,0.014222620815951333,3381,0.06617927551269531,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.5,,0.7,2000,False,0.00017389363768957942,0.011937458787253196,3396,0.059102535247802734,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.5,,1.0,2000,False,0.00020612294052327505,0.014222620815951333,3382,0.06364583969116211,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.5,,1.3,2000,False,0.00015948293514137738,0.014012719137007027,3421,0.06215786933898926,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.5,,1.5,2000,False,0.00018364244070205786,0.013015235752973057,3415,0.06391072273254395,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.5,,1.7,2000,False,0.00021596970104917687,0.013601129325696956,3392,0.0629281997680664,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.5,,1.9,2000,False,0.00018711397503455292,0.012380400537331042,3400,0.06496572494506836,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.5,,2.0,2000,False,0.00020612294052327505,0.014222620815951333,3383,0.06759381294250488,Armijo
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.1,0.1,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.23055195808410645,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.1,0.3,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.220137357711792,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.1,0.5,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.2210068702697754,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.1,0.7,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.26106739044189453,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.1,1.0,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.21487641334533691,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.1,1.3,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.20682549476623535,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.1,1.5,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.286449670791626,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.1,1.7,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.2622697353363037,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.1,1.9,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.21601390838623047,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.1,2.0,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.21942853927612305,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.2,0.1,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.20236921310424805,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.2,0.3,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.24215316772460938,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.2,0.5,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.2263805866241455,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.2,0.7,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.22191238403320312,Wolfe
